date,region,province,marche,categorie,produit,unit,statut_prix,type_prix,devise,prix_local,prix_usd,date_source,periode_normalisee,granularite_temporelle,annee,trimestre,mois,source_fichier,domaine
novembre 1992,CENTRE-EST,BOULGOU,Tenkodogo,cereales et tubercules,mil,KG,observe,detail,XOF,66.33,0.16,novembre 1992,novembre 1992,mensuelle,1992,4,11,wfp_food_prices_bfa.csv,prix
novembre 1992,CENTRE-NORD,BAM,Kongoussi,cereales et tubercules,mil,KG,observe,detail,XOF,64.0,0.15,novembre 1992,novembre 1992,mensuelle,1992,4,11,wfp_food_prices_bfa.csv,prix
novembre 1992,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,cereales et tubercules,mil,KG,observe,detail,XOF,78.0,0.19,novembre 1992,novembre 1992,mensuelle,1992,4,11,wfp_food_prices_bfa.csv,prix
novembre 1992,EST,GOURMA,Fada N'Gourma,cereales et tubercules,mil,KG,observe,detail,XOF,65.67,0.16,novembre 1992,novembre 1992,mensuelle,1992,4,11,wfp_food_prices_bfa.csv,prix
novembre 1992,SAHEL,OUDALAN,Gorom Gorom,cereales et tubercules,mil,KG,observe,detail,XOF,72.0,0.17,novembre 1992,novembre 1992,mensuelle,1992,4,11,wfp_food_prices_bfa.csv,prix
novembre 1992,SAHEL,SÉNO,Dori,cereales et tubercules,mil,KG,observe,detail,XOF,70.0,0.17,novembre 1992,novembre 1992,mensuelle,1992,4,11,wfp_food_prices_bfa.csv,prix
novembre 1992,SUD-OUEST,BOUGOURIBA,Diebougou,cereales et tubercules,mil,KG,observe,detail,XOF,72.5,0.17,novembre 1992,novembre 1992,mensuelle,1992,4,11,wfp_food_prices_bfa.csv,prix
decembre 1992,BOUCLE DU MOUHOUN,SOUROU,Tougan,cereales et tubercules,mil,KG,observe,detail,XOF,52.0,0.12,decembre 1992,decembre 1992,mensuelle,1992,4,12,wfp_food_prices_bfa.csv,prix
decembre 1992,CASCADES,COMOÉ,Banfora,cereales et tubercules,mil,KG,observe,detail,XOF,70.25,0.17,decembre 1992,decembre 1992,mensuelle,1992,4,12,wfp_food_prices_bfa.csv,prix
decembre 1992,CENTRE,KADIOGO,Ouagadougo (Sankaryare),cereales et tubercules,mil,KG,observe,detail,XOF,88.5,0.21,decembre 1992,decembre 1992,mensuelle,1992,4,12,wfp_food_prices_bfa.csv,prix
decembre 1992,CENTRE-EST,BOULGOU,Tenkodogo,cereales et tubercules,mil,KG,observe,detail,XOF,63.75,0.15,decembre 1992,decembre 1992,mensuelle,1992,4,12,wfp_food_prices_bfa.csv,prix
decembre 1992,CENTRE-NORD,BAM,Kongoussi,cereales et tubercules,mil,KG,observe,detail,XOF,56.25,0.13,decembre 1992,decembre 1992,mensuelle,1992,4,12,wfp_food_prices_bfa.csv,prix
decembre 1992,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,cereales et tubercules,mil,KG,observe,detail,XOF,71.0,0.17,decembre 1992,decembre 1992,mensuelle,1992,4,12,wfp_food_prices_bfa.csv,prix
decembre 1992,EST,GOURMA,Fada N'Gourma,cereales et tubercules,mil,KG,observe,detail,XOF,53.0,0.13,decembre 1992,decembre 1992,mensuelle,1992,4,12,wfp_food_prices_bfa.csv,prix
decembre 1992,SAHEL,SOUM,Djibo,cereales et tubercules,mil,KG,observe,detail,XOF,66.67,0.16,decembre 1992,decembre 1992,mensuelle,1992,4,12,wfp_food_prices_bfa.csv,prix
decembre 1992,SAHEL,SÉNO,Dori,cereales et tubercules,mil,KG,observe,detail,XOF,56.0,0.13,decembre 1992,decembre 1992,mensuelle,1992,4,12,wfp_food_prices_bfa.csv,prix
decembre 1992,SUD-OUEST,BOUGOURIBA,Diebougou,cereales et tubercules,mil,KG,observe,detail,XOF,65.0,0.15,decembre 1992,decembre 1992,mensuelle,1992,4,12,wfp_food_prices_bfa.csv,prix
janvier 1993,BOUCLE DU MOUHOUN,SOUROU,Tougan,cereales et tubercules,mil,KG,observe,detail,XOF,52.5,0.12,janvier 1993,janvier 1993,mensuelle,1993,1,1,wfp_food_prices_bfa.csv,prix
janvier 1993,CASCADES,COMOÉ,Banfora,cereales et tubercules,mil,KG,observe,detail,XOF,66.25,0.16,janvier 1993,janvier 1993,mensuelle,1993,1,1,wfp_food_prices_bfa.csv,prix
janvier 1993,CENTRE,KADIOGO,Ouagadougo (Sankaryare),cereales et tubercules,mil,KG,observe,detail,XOF,84.5,0.2,janvier 1993,janvier 1993,mensuelle,1993,1,1,wfp_food_prices_bfa.csv,prix
janvier 1993,CENTRE-NORD,BAM,Kongoussi,cereales et tubercules,mil,KG,observe,detail,XOF,51.75,0.12,janvier 1993,janvier 1993,mensuelle,1993,1,1,wfp_food_prices_bfa.csv,prix
janvier 1993,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,cereales et tubercules,mil,KG,observe,detail,XOF,69.75,0.17,janvier 1993,janvier 1993,mensuelle,1993,1,1,wfp_food_prices_bfa.csv,prix
janvier 1993,EST,GOURMA,Fada N'Gourma,cereales et tubercules,mil,KG,observe,detail,XOF,55.25,0.13,janvier 1993,janvier 1993,mensuelle,1993,1,1,wfp_food_prices_bfa.csv,prix
janvier 1993,SAHEL,SOUM,Djibo,cereales et tubercules,mil,KG,observe,detail,XOF,63.0,0.15,janvier 1993,janvier 1993,mensuelle,1993,1,1,wfp_food_prices_bfa.csv,prix
janvier 1993,SAHEL,SÉNO,Dori,cereales et tubercules,mil,KG,observe,detail,XOF,65.0,0.15,janvier 1993,janvier 1993,mensuelle,1993,1,1,wfp_food_prices_bfa.csv,prix
fevrier 1993,BOUCLE DU MOUHOUN,SOUROU,Tougan,cereales et tubercules,mil,KG,observe,detail,XOF,33.0,0.078,fevrier 1993,fevrier 1993,mensuelle,1993,1,2,wfp_food_prices_bfa.csv,prix
fevrier 1993,CENTRE-EST,BOULGOU,Tenkodogo,cereales et tubercules,mil,KG,observe,detail,XOF,60.25,0.14,fevrier 1993,fevrier 1993,mensuelle,1993,1,2,wfp_food_prices_bfa.csv,prix
fevrier 1993,CENTRE-NORD,BAM,Kongoussi,cereales et tubercules,mil,KG,observe,detail,XOF,59.0,0.14,fevrier 1993,fevrier 1993,mensuelle,1993,1,2,wfp_food_prices_bfa.csv,prix
fevrier 1993,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,cereales et tubercules,mil,KG,observe,detail,XOF,72.5,0.17,fevrier 1993,fevrier 1993,mensuelle,1993,1,2,wfp_food_prices_bfa.csv,prix
fevrier 1993,SAHEL,SOUM,Djibo,cereales et tubercules,mil,KG,observe,detail,XOF,63.33,0.15,fevrier 1993,fevrier 1993,mensuelle,1993,1,2,wfp_food_prices_bfa.csv,prix
fevrier 1993,SUD-OUEST,BOUGOURIBA,Diebougou,cereales et tubercules,mil,KG,observe,detail,XOF,69.75,0.17,fevrier 1993,fevrier 1993,mensuelle,1993,1,2,wfp_food_prices_bfa.csv,prix
mars 1993,BOUCLE DU MOUHOUN,SOUROU,Tougan,cereales et tubercules,mil,KG,observe,detail,XOF,46.67,0.11,mars 1993,mars 1993,mensuelle,1993,1,3,wfp_food_prices_bfa.csv,prix
mars 1993,CASCADES,COMOÉ,Banfora,cereales et tubercules,mil,KG,observe,detail,XOF,62.33,0.15,mars 1993,mars 1993,mensuelle,1993,1,3,wfp_food_prices_bfa.csv,prix
mars 1993,CENTRE,KADIOGO,Ouagadougo (Sankaryare),cereales et tubercules,mil,KG,observe,detail,XOF,86.0,0.2,mars 1993,mars 1993,mensuelle,1993,1,3,wfp_food_prices_bfa.csv,prix
mars 1993,CENTRE-EST,BOULGOU,Tenkodogo,cereales et tubercules,mil,KG,observe,detail,XOF,65.0,0.15,mars 1993,mars 1993,mensuelle,1993,1,3,wfp_food_prices_bfa.csv,prix
mars 1993,CENTRE-NORD,BAM,Kongoussi,cereales et tubercules,mil,KG,observe,detail,XOF,60.0,0.14,mars 1993,mars 1993,mensuelle,1993,1,3,wfp_food_prices_bfa.csv,prix
