indicateur,age,sexe,annee,date_source,date,periode_normalisee,granularite_temporelle,valeur,region,projection_type,source_fichier
population_projettee,3,femme,2034,2034,2034,2034,annuelle,20307.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2034,2034,2034,2034,annuelle,41880.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2035,2035,2035,2035,annuelle,21888.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,femme,2035,2035,2035,2035,annuelle,20602.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2035,2035,2035,2035,annuelle,42490.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,4,homme,2020,2020,2020,2020,annuelle,19348.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,4,femme,2020,2020,2020,2020,annuelle,18542.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,4,ensemble,2020,2020,2020,2020,annuelle,37890.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,4,homme,2021,2021,2021,2021,annuelle,19849.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,4,femme,2021,2021,2021,2021,annuelle,18899.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,4,ensemble,2021,2021,2021,2021,annuelle,38748.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,4,homme,2022,2022,2022,2022,annuelle,20320.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,4,femme,2022,2022,2022,2022,annuelle,19223.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,4,ensemble,2022,2022,2022,2022,annuelle,39543.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
