"indicateur","localités","Unit","Date","Value"
"Densité par région et province des quatres derniers recensements","Soum","Habitants/km2","1985","15.3061859893486"
"Densité par région et province des quatres derniers recensements","Soum","Habitants/km2","1996","20.728635804998"
"Densité par région et province des quatres derniers recensements","Soum","Habitants/km2","2006","28.4584186808685"
"Densité par région et province des quatres derniers recensements","Soum","Habitants/km2","2019","29"
"Densité par région et province des quatres derniers recensements","Yagha","Habitants/km2","1985","12.099426978473"
"Densité par région et province des quatres derniers recensements","Yagha","Habitants/km2","1996","18.0298900418151"
"Densité par région et province des quatres derniers recensements","Yagha","Habitants/km2","2006","24.8028496205668"
"Densité par région et province des quatres derniers recensements","Yagha","Habitants/km2","2019","26.3"
"Densité par région et province des quatres derniers recensements","Région du Sud-Ouest","Habitants/km2","1985","27.3339317773788"
"Densité par région et province des quatres derniers recensements","Région du Sud-Ouest","Habitants/km2","1996","30.0447594874017"
"Densité par région et province des quatres derniers recensements","Région du Sud-Ouest","Habitants/km2","2006","38.4304463567139"
"Densité par région et province des quatres derniers recensements","Région du Sud-Ouest","Habitants/km2","2019","53"
"Densité par région et province des quatres derniers recensements","Bougouriba","Habitants/km2","1985","23.1236234458259"
"Densité par région et province des quatres derniers recensements","Bougouriba","Habitants/km2","1996","27.1751332149201"
"Densité par région et province des quatres derniers recensements","Bougouriba","Habitants/km2","2006","36.049378330373"
"Densité par région et province des quatres derniers recensements","Bougouriba","Habitants/km2","2019","55.4"
"Densité par région et province des quatres derniers recensements","Ioba","Habitants/km2","1985","43.1405721316518"
"Densité par région et province des quatres derniers recensements","Ioba","Habitants/km2","1996","49.6721008920332"
"Densité par région et province des quatres derniers recensements","Ioba","Habitants/km2","2006","59.157490003076"
"Densité par région et province des quatres derniers recensements","Ioba","Habitants/km2","2019","81.6"
"Densité par région et province des quatres derniers recensements","Noumbiel","Habitants/km2","1985","16.2383040935673"
"Densité par région et province des quatres derniers recensements","Noumbiel","Habitants/km2","1996","18.7978801169591"
"Densité par région et province des quatres derniers recensements","Noumbiel","Habitants/km2","2006","25.5979532163743"
"Densité par région et province des quatres derniers recensements","Noumbiel","Habitants/km2","2019","35.2"
"Densité par région et province des quatres derniers recensements","Poni","Habitants/km2","1985","26.0854305536662"
"Densité par région et province des quatres derniers recensements","Poni","Habitants/km2","1996","26.6494354509591"
"Densité par région et province des quatres derniers recensements","Poni","Habitants/km2","2006","34.9518432866277"
"Densité par région et province des quatres derniers recensements","Poni","Habitants/km2","2019","47.8"
